
Initial statistics: 63 variables; iteration 0; function evaluation 0; phase 1
Function value 1.2643736e+03; maximum gradient component mag -5.5771e+03
 19 -0.10843 -8.70958e+00 | 20 -0.04841  3.66300e+00 | 21  0.04595  2.48279e+01
 22 -0.00052 -5.47599e+01 | 23  0.15376  7.22759e+01 | 24  0.00535  7.74386e+00
 25 -0.01466  9.63574e+01 | 26 -0.05498  1.04697e+02 | 27  0.12702  3.82588e+02
 28 -0.04403  8.56701e+01 | 29  0.11582  1.75928e+02 | 30 -0.00566  1.17620e+02
 31 -0.03204  2.82184e+02 | 32 -0.07039  3.48310e+02 | 33 -0.04423  2.33975e+02
 34  0.03135  8.43399e+01 | 35  0.03647  1.58751e+02 | 36  0.05075  2.23668e+02
 37  0.15094  4.03684e+02 | 38  0.00971  8.87673e+01 | 39 -0.02439  1.01403e+02
 40 -0.05144  7.01986e+00 | 41  0.04472 -5.14796e+01 | 42  0.02832  1.63878e+02
 43 -0.00862  1.74555e+02 | 44  0.08604  1.67180e+02 | 45  0.07381  1.46548e+02
 46 -0.03774  5.17465e+01 | 47 -0.02053  3.00794e+01 | 48 -0.02226  1.05534e+02
 49 -0.03341  1.52391e+02 | 50  0.01508  6.25083e+00 | 51  0.02604 -1.71170e+02
 52 -0.00685  4.85551e+00 | 53  0.14467 -1.24853e+02 | 54 -0.17766 -1.40937e+02
 55  0.09547 -2.10667e+02 | 56  0.13453  1.78410e+01 | 57  0.02690 -2.04058e+02
 58  0.12750 -1.81958e+02 | 59 -0.03219  5.55303e+01 | 60  0.00111  2.29891e+02
 61 -0.07194  3.60885e+01 | 62 -0.04702 -3.63103e+01 | 63 -0.72192 -6.31398e+01
63 variables; iteration 60; function evaluation 83; phase 1
Function value 3.6641679e+02; maximum gradient component mag 5.8043e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.17042  5.80435e+02 |  2 -0.02159 -2.94373e+00 |  3 -0.02753 -3.74089e+00
  4 -0.03108 -4.19160e+00 |  5 -0.02798 -3.69488e+00 |  6 -0.01376 -1.59637e+00
  7  0.00980  1.91297e+00 |  8  0.02632  4.54195e+00 |  9  0.01776  3.63183e+00
 10 -0.00419  7.96327e-01 | 11 -0.02387 -1.64400e+00 | 12  0.01058  4.60919e+00
 13 -0.02368  8.16745e-02 | 14 -0.02333  1.47209e+00 | 15 -0.02917  2.05065e+00
 16 -0.05684 -1.60587e+00 | 17 -0.03260  4.20541e+00 | 18 -0.04869  8.11870e-01
 19 -0.00074  9.33277e+00 | 20 -0.00918  4.30467e+00 | 21  0.07921  4.28291e+00
 22  0.00011 -4.84394e+01 | 23  0.15350 -4.34078e+01 | 24  0.05476 -3.50603e+01
 25 -0.06252 -3.27901e+01 | 26 -0.10300 -2.70297e+01 | 27  0.13293  2.68910e+01
 28 -0.08233 -7.59805e+00 | 29  0.14896  6.65781e+01 | 30  0.00702 -3.92849e+00
 31 -0.06435 -1.60079e+01 | 32 -0.15818  1.31337e+01 | 33 -0.07506 -1.53344e+01
 34  0.06776 -1.47480e+00 | 35  0.03603 -1.07037e+01 | 36  0.03782  1.39948e+00
 37  0.16121  4.54361e+01 | 38  0.02895 -1.14198e+01 | 39 -0.05136 -2.94981e+01
 40 -0.05716 -3.22105e+01 | 41  0.08944 -1.37592e+01 | 42  0.00404 -3.95905e+01
 43 -0.04110 -1.53809e+01 | 44  0.10757  3.22009e+01 | 45  0.07610 -1.71223e+01
 46 -0.05385 -3.75145e+01 | 47 -0.00072 -3.41897e+01 | 48 -0.02928 -5.16603e+01
 49 -0.05835 -4.34913e+01 | 50  0.02300 -6.06214e+01 | 51  0.06798 -3.65542e+01
 52 -0.04327 -6.17406e+01 | 53  0.16028 -1.65119e+01 | 54 -0.13277 -8.57236e+01
 55  0.12767 -6.17983e+01 | 56  0.11817 -7.01881e+01 | 57  0.07474 -7.10874e+01
 58  0.15824 -4.02913e+01 | 59 -0.06107 -6.71355e+01 | 60 -0.04147 -8.03276e+01
 61 -0.09916 -6.58367e+01 | 62 -0.08241 -6.31801e+01 | 63 -0.71863 -4.91097e+01
Maximum number of function evaluations exceeded

 - final statistics:
63 variables; iteration 73; function evaluation 100
Function value 3.5510e+02; maximum gradient component mag 2.3118e+02
Exit code = 3;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.18395  2.31175e+02 |  2 -0.00392 -4.75750e-01 |  3 -0.01407 -1.86140e+00
  4  0.00471  8.29451e-01 |  5  0.01230  1.98221e+00 |  6 -0.02402 -3.06061e+00
  7  0.02250  3.71601e+00 |  8 -0.00794 -4.63809e-01 |  9 -0.00394  3.86839e-01
 10 -0.02663 -2.60314e+00 | 11 -0.00718  8.26626e-01 | 12 -0.00749  1.54145e+00
 13 -0.02052  4.28362e-01 | 14 -0.01800  2.15226e+00 | 15 -0.03514  6.05349e-01
 16 -0.03220  2.64387e+00 | 17 -0.04065  1.79301e+00 | 18 -0.03837  1.67818e+00
 19 -0.05516 -2.64201e+00 | 20 -0.01293  3.78232e+00 | 21  0.12943  1.53309e+01
 22 -0.10077 -1.41759e+01 | 23  0.17710  9.97082e+00 | 24  0.05454  1.78009e+00
 25 -0.06074 -6.84169e+00 | 26 -0.12503 -1.80887e+01 | 27  0.14513  1.43290e+00
 28 -0.18963 -3.52511e+01 | 29  0.16282  1.55136e+01 | 30  0.00456 -1.99846e+01
 31 -0.04896 -2.53233e+01 | 32 -0.26318 -2.79783e+01 | 33 -0.06613 -2.43440e+01
 34  0.07613 -1.50515e+01 | 35  0.04040 -1.91162e+01 | 36  0.03532 -1.35594e+01
 37  0.16897 -1.60567e+00 | 38  0.03269 -1.36882e+01 | 39 -0.05191 -2.09158e+01
 40 -0.05402 -1.70178e+01 | 41  0.09385 -8.16942e+00 | 42  0.02640 -1.49966e+01
 43 -0.08140 -4.06534e+01 | 44  0.11548 -1.76305e+01 | 45  0.08046 -2.24013e+01
 46 -0.05613 -2.21359e+01 | 47  0.00383 -9.81905e+00 | 48 -0.01980 -2.99358e+00
 49 -0.05174  3.47237e+00 | 50  0.03196 -4.22678e+00 | 51  0.07075 -3.43068e+00
 52 -0.02400 -7.60703e-01 | 53  0.15790  1.19142e+01 | 54 -0.04886 -9.89190e+00
 55  0.12687  9.31515e+00 | 56  0.12688  3.15668e+00 | 57  0.08640  4.57852e+00
 58  0.16229  6.00440e+00 | 59 -0.04794 -1.05438e+01 | 60 -0.03475 -3.29296e+01
 61 -0.09662 -2.89257e+01 | 62 -0.08100 -2.58142e+01 | 63 -0.56680 -4.09410e+01

Initial statistics: 68 variables; iteration 0; function evaluation 0; phase 2
Function value 3.5498881e+02; maximum gradient component mag 8.0667e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.16303 -7.25842e+01 |  2  0.44981  7.66339e+01 |  3  0.06758  2.84935e+02
  4 -0.53550  8.06673e+02 |  5 -0.52498  6.02325e+02 |  6 -0.18395  2.31175e+02
  7 -0.00392 -4.75750e-01 |  8 -0.01407 -1.86140e+00 |  9  0.00471  8.29451e-01
 10  0.01230  1.98221e+00 | 11 -0.02402 -3.06061e+00 | 12  0.02250  3.71601e+00
 13 -0.00794 -4.63809e-01 | 14 -0.00394  3.86839e-01 | 15 -0.02663 -2.60314e+00
 16 -0.00718  8.26626e-01 | 17 -0.00749  1.54145e+00 | 18 -0.02052  4.28362e-01
 19 -0.01800  2.15226e+00 | 20 -0.03514  6.05349e-01 | 21 -0.03220  2.64387e+00
 22 -0.04065  1.79301e+00 | 23 -0.03837  1.67818e+00 | 24 -0.05516 -2.64201e+00
 25 -0.01293  3.78232e+00 | 26  0.12943  1.53309e+01 | 27 -0.10033 -1.68233e+00
 28  0.17755  2.21318e+01 | 29  0.05497  1.43847e+01 | 30 -0.06031  5.75302e+00
 31 -0.12460 -5.68079e+00 | 32  0.14557  1.37552e+01 | 33 -0.18918 -2.31614e+01
 34  0.16326  2.77489e+01 | 35  0.00499 -7.33296e+00 | 36 -0.04853 -1.27095e+01
 37 -0.26271 -1.63976e+01 | 38 -0.06569 -1.17612e+01 | 39  0.07656 -2.48975e+00
 40  0.04083 -6.48950e+00 | 41  0.03575 -9.26973e-01 | 42  0.16941  1.06012e+01
 43  0.03312 -1.05298e+00 | 44 -0.05148 -8.30641e+00 | 45 -0.05359 -4.41170e+00
 46  0.09429  4.34478e+00 | 47  0.02683 -2.35553e+00 | 48 -0.08096 -2.81072e+01
 49  0.11591 -5.18553e+00 | 50  0.08089 -9.84949e+00 | 51 -0.05570 -9.53371e+00
 52  0.00426  2.83258e+00 | 53 -0.01937  9.65238e+00 | 54 -0.05130  1.60834e+01
 55  0.03239  8.40886e+00 | 56  0.07118  9.14245e+00 | 57 -0.02357  1.18825e+01
 58  0.15834  2.41746e+01 | 59 -0.04843  2.72288e+00 | 60  0.12731  2.17136e+01
 61  0.12731  1.55560e+01 | 62  0.08683  1.71125e+01 | 63  0.16273  1.82441e+01
 64 -0.04751  2.07233e+00 | 65 -0.03432 -2.02973e+01 | 66 -0.09619 -1.64210e+01
 67 -0.08057 -1.32657e+01 | 68 -0.56612 -3.30247e+01 |

Intermediate statistics: 68 variables; iteration 20; function evaluation 25; phase 2
Function value 3.4748844e+02; maximum gradient component mag -2.5198e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.09560  4.52901e+01 |  2  0.43914  1.32675e+01 |  3  0.05609 -3.10491e+01
  4 -0.53854 -1.13001e+02 |  5 -0.52463 -1.19080e+02 |  6 -0.18700 -2.51983e+02
  7 -0.00023  5.33348e-02 |  8  0.00045  1.91972e-01 |  9 -0.00181 -6.58700e-02
 10 -0.00316 -1.75982e-01 | 11 -0.00029  3.42241e-01 | 12 -0.00617 -3.47664e-01
 13 -0.00442  1.07549e-01 | 14 -0.00687  3.39371e-02 | 15 -0.00698  4.13653e-01
 16 -0.01308  3.52793e-02 | 17 -0.01814 -2.40146e-02 | 18 -0.02282  1.82677e-01
