"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"52",1990,1,-1,0,0,1,80.5,80.5,0.84,0,0,0,0,0,0,0.166666666666667,0.333333333333333,0.5,0,0,0,0
"53",1990,1,-1,0,0,1,81.5,81.5,1.26,0,0,0,0,0,0,0.222222222222222,0.777777777777778,0,0,0,0,0
"54",1990,1,-1,0,0,1,82.5,82.5,0.42,0,0,0,0,0,0,0,0,1,0,0,0,0
"55",1990,1,-1,0,0,1,83.5,83.5,0.84,0,0,0,0,0,0,0.166666666666667,0.5,0.333333333333333,0,0,0,0
"56",1990,1,-1,0,0,1,84.5,84.5,0.84,0,0,0,0,0,0,0,0.166666666666667,0.5,0.166666666666667,0,0.166666666666667,0
"57",1990,1,-1,0,0,1,85.5,85.5,0.56,0,0,0,0,0,0,0,0.75,0,0.25,0,0,0
"58",1990,1,-1,0,0,1,86.5,86.5,0.42,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0
"59",1990,1,-1,0,0,1,87.5,87.5,0.28,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0
"60",1990,1,-1,0,0,1,88.5,88.5,1.26,0,0,0,0,0,0,0,0.111111111111111,0.555555555555556,0.333333333333333,0,0,0
"61",1990,1,-1,0,0,1,89.5,89.5,0.84,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0
"62",1990,1,-1,0,0,1,90.5,90.5,0.56,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0
"63",1990,1,-1,0,0,1,91.5,91.5,0.28,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0
"64",1990,1,-1,0,0,1,92.5,92.5,0.56,0,0,0,0,0,0,0,0,0.5,0,0.25,0.25,0
"65",1990,1,-1,0,0,1,93.5,93.5,0.28,0,0,0,0,0,0,0,0,0,1,0,0,0
"66",1990,1,-1,0,0,1,94.5,94.5,0.56,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0.25,0
"67",1990,1,-1,0,0,1,95.5,95.5,0.14,0,0,0,0,0,0,0,0,0,1,0,0,0
"68",1990,1,-1,0,0,1,96.5,96.5,0.42,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.666666666666667,0
"69",1990,1,-1,0,0,1,97.5,97.5,0.14,0,0,0,0,0,0,0,0,0,0,0,1,0
"70",1990,1,-1,0,0,1,98.5,98.5,0.14,0,0,0,0,0,0,0,0,1,0,0,0,0
"71",1990,1,-1,0,0,1,99.5,99.5,0.14,0,0,0,0,0,0,0,0,0,0,0,1,0
"72",1991,1,-1,0,0,1,100.5,100.5,0.14,0,0,0,0,0,0,0,0,0,0,0,1,0
"73",1991,1,-1,0,0,1,101.5,101.5,0.56,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0
"74",1991,1,-1,0,0,1,104.5,104.5,0.14,0,0,0,0,0,0,0,0,0,0,1,0,0
"75",1991,1,-1,0,0,1,31.5,31.5,0.14,0,0,1,0,0,0,0,0,0,0,0,0,0
"76",1991,1,-1,0,0,1,32.5,32.5,0.14,0,0,1,0,0,0,0,0,0,0,0,0,0
"77",1991,1,-1,0,0,1,34.5,34.5,0.14,0,0,1,0,0,0,0,0,0,0,0,0,0
"78",1991,1,-1,0,0,1,35.5,35.5,0.28,0,0,1,0,0,0,0,0,0,0,0,0,0
"79",1991,1,-1,0,0,1,36.5,36.5,0.42,0,0,1,0,0,0,0,0,0,0,0,0,0
"80",1991,1,-1,0,0,1,37.5,37.5,0.14,0,0,1,0,0,0,0,0,0,0,0,0,0
"81",1991,1,-1,0,0,1,40.5,40.5,0.28,0,0,0,1,0,0,0,0,0,0,0,0,0
"82",1991,1,-1,0,0,1,41.5,41.5,0.28,0,0,0,1,0,0,0,0,0,0,0,0,0
"83",1991,1,-1,0,0,1,42.5,42.5,0.28,0,0,0,1,0,0,0,0,0,0,0,0,0
"84",1991,1,-1,0,0,1,43.5,43.5,0.7,0,0,0,1,0,0,0,0,0,0,0,0,0
"85",1991,1,-1,0,0,1,44.5,44.5,1.26,0,0,0,1,0,0,0,0,0,0,0,0,0
"86",1991,1,-1,0,0,1,45.5,45.5,1.26,0,0,0,1,0,0,0,0,0,0,0,0,0
"87",1991,1,-1,0,0,1,46.5,46.5,1.12,0,0,0,0.75,0.25,0,0,0,0,0,0,0,0
"88",1991,1,-1,0,0,1,47.5,47.5,0.28,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0
"89",1991,1,-1,0,0,1,48.5,48.5,1.68,0,0,0,0.583333333333333,0.416666666666667,0,0,0,0,0,0,0,0
"90",1991,1,-1,0,0,1,49.5,49.5,0.98,0,0,0,0.714285714285714,0.285714285714286,0,0,0,0,0,0,0,0
"91",1991,1,-1,0,0,1,50.5,50.5,0.84,0,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"92",1991,1,-1,0,0,1,51.5,51.5,0.56,0,0,0,0.25,0.75,0,0,0,0,0,0,0,0
"93",1991,1,-1,0,0,1,52.5,52.5,0.98,0,0,0,0,1,0,0,0,0,0,0,0,0
"94",1991,1,-1,0,0,1,53.5,53.5,0.42,0,0,0,0,1,0,0,0,0,0,0,0,0
"95",1991,1,-1,0,0,1,54.5,54.5,0.98,0,0,0,0,1,0,0,0,0,0,0,0,0
"96",1991,1,-1,0,0,1,55.5,55.5,0.7,0,0,0,0,0.8,0.2,0,0,0,0,0,0,0
"97",1991,1,-1,0,0,1,56.5,56.5,0.28,0,0,0,0,1,0,0,0,0,0,0,0,0
"98",1991,1,-1,0,0,1,57.5,57.5,0.42,0,0,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0
"99",1991,1,-1,0,0,1,58.5,58.5,0.42,0,0,0,0,1,0,0,0,0,0,0,0,0
"100",1991,1,-1,0,0,1,59.5,59.5,0.28,0,0,0,0,0,1,0,0,0,0,0,0,0
"101",1991,1,-1,0,0,1,60.5,60.5,0.84,0,0,0,0,0.166666666666667,0.833333333333333,0,0,0,0,0,0,0
"102",1991,1,-1,0,0,1,61.5,61.5,1.26,0,0,0,0,0.111111111111111,0.888888888888889,0,0,0,0,0,0,0
"103",1991,1,-1,0,0,1,62.5,62.5,0.98,0,0,0,0,0,1,0,0,0,0,0,0,0
"104",1991,1,-1,0,0,1,63.5,63.5,0.84,0,0,0,0,0,0.833333333333333,0.166666666666667,0,0,0,0,0,0
"105",1991,1,-1,0,0,1,64.5,64.5,0.56,0,0,0,0,0,1,0,0,0,0,0,0,0
"106",1991,1,-1,0,0,1,65.5,65.5,0.84,0,0,0,0,0,1,0,0,0,0,0,0,0
"107",1991,1,-1,0,0,1,66.5,66.5,2.24,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"108",1991,1,-1,0,0,1,67.5,67.5,1.26,0,0,0,0,0,0.888888888888889,0.111111111111111,0,0,0,0,0,0
"109",1991,1,-1,0,0,1,68.5,68.5,3.08,0,0,0,0,0,0.818181818181818,0.181818181818182,0,0,0,0,0,0
"110",1991,1,-1,0,0,1,69.5,69.5,1.4,0,0,0,0,0,0.3,0.7,0,0,0,0,0,0
"111",1991,1,-1,0,0,1,70.5,70.5,1.96,0,0,0,0,0,0.142857142857143,0.857142857142857,0,0,0,0,0,0
"112",1991,1,-1,0,0,1,71.5,71.5,3.08,0,0,0,0,0,0.0454545454545455,0.818181818181818,0.0909090909090909,0.0454545454545455,0,0,0,0
"113",1991,1,-1,0,0,1,72.5,72.5,1.12,0,0,0,0,0,0,1,0,0,0,0,0,0
"114",1991,1,-1,0,0,1,73.5,73.5,2.24,0,0,0,0,0,0,0.875,0.125,0,0,0,0,0
"115",1991,1,-1,0,0,1,74.5,74.5,2.24,0,0,0,0,0,0,0.625,0.375,0,0,0,0,0
"116",1991,1,-1,0,0,1,75.5,75.5,2.52,0,0,0,0,0,0,0.555555555555556,0.333333333333333,0.111111111111111,0,0,0,0
"117",1991,1,-1,0,0,1,76.5,76.5,1.68,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0
"118",1991,1,-1,0,0,1,77.5,77.5,2.1,0,0,0,0,0,0,0.8,0.2,0,0,0,0,0
"119",1991,1,-1,0,0,1,78.5,78.5,2.24,0,0,0,0,0,0,0.3125,0.5,0.1875,0,0,0,0
"120",1991,1,-1,0,0,1,79.5,79.5,1.54,0,0,0,0,0,0,0,0.636363636363636,0.0909090909090909,0.272727272727273,0,0,0
"121",1991,1,-1,0,0,1,80.5,80.5,1.54,0,0,0,0,0,0,0,0.909090909090909,0,0,0.0909090909090909,0,0
"122",1991,1,-1,0,0,1,81.5,81.5,1.12,0,0,0,0,0,0,0,0.5,0.25,0.25,0,0,0
"123",1991,1,-1,0,0,1,82.5,82.5,0.84,0,0,0,0,0,0,0,0.666666666666667,0,0,0.166666666666667,0.166666666666667,0
"124",1991,1,-1,0,0,1,83.5,83.5,1.26,0,0,0,0,0,0,0,0.333333333333333,0.111111111111111,0.444444444444444,0.111111111111111,0,0
"125",1991,1,-1,0,0,1,84.5,84.5,0.98,0,0,0,0,0,0,0,0.428571428571429,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0
"126",1991,1,-1,0,0,1,85.5,85.5,0.84,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.5,0.166666666666667,0,0
"127",1991,1,-1,0,0,1,86.5,86.5,0.84,0,0,0,0,0,0,0,0.166666666666667,0.5,0,0.333333333333333,0,0
"128",1991,1,-1,0,0,1,87.5,87.5,1.12,0,0,0,0,0,0,0,0.125,0.125,0.625,0,0.125,0
"129",1991,1,-1,0,0,1,88.5,88.5,1.12,0,0,0,0,0,0,0,0.125,0.125,0.125,0.5,0.125,0
"130",1991,1,-1,0,0,1,89.5,89.5,1.26,0,0,0,0,0,0,0,0,0.222222222222222,0.222222222222222,0,0.555555555555556,0
"131",1991,1,-1,0,0,1,90.5,90.5,0.28,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0
"132",1991,1,-1,0,0,1,91.5,91.5,0.7,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.2,0
"133",1991,1,-1,0,0,1,92.5,92.5,0.42,0,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0
"134",1991,1,-1,0,0,1,93.5,93.5,0.42,0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0
"135",1991,1,-1,0,0,1,94.5,94.5,0.42,0,0,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0,0,0
"136",1991,1,-1,0,0,1,95.5,95.5,0.56,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0
"137",1991,1,-1,0,0,1,96.5,96.5,0.42,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0
"138",1991,1,-1,0,0,1,97.5,97.5,0.42,0,0,0,0,0,0,0,0,0.333333333333333,0,0.666666666666667,0,0
"139",1991,1,-1,0,0,1,99.5,99.5,0.14,0,0,0,0,0,0,0,0,0,0,0,1,0
"140",1992,1,-1,0,0,1,38.5,38.5,0.14,0,0,1,0,0,0,0,0,0,0,0,0,0
"141",1992,1,-1,0,0,1,41.5,41.5,0.14,0,0,0,1,0,0,0,0,0,0,0,0,0
"142",1992,1,-1,0,0,1,43.5,43.5,0.14,0,0,0,1,0,0,0,0,0,0,0,0,0
"143",1992,1,-1,0,0,1,44.5,44.5,0.84,0,0,0,0.833333333333333,0.166666666666667,0,0,0,0,0,0,0,0
"144",1992,1,-1,0,0,1,45.5,45.5,1.12,0,0,0,1,0,0,0,0,0,0,0,0,0
"145",1992,1,-1,0,0,1,46.5,46.5,0.7,0,0,0,1,0,0,0,0,0,0,0,0,0
"146",1992,1,-1,0,0,1,47.5,47.5,0.84,0,0,0,1,0,0,0,0,0,0,0,0,0
"147",1992,1,-1,0,0,1,48.5,48.5,0.56,0,0,0,1,0,0,0,0,0,0,0,0,0
"148",1992,1,-1,0,0,1,49.5,49.5,0.14,0,0,0,1,0,0,0,0,0,0,0,0,0
"149",1992,1,-1,0,0,1,51.5,51.5,0.42,0,0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
"150",1992,1,-1,0,0,1,52.5,52.5,0.28,0,0,0,0,1,0,0,0,0,0,0,0,0
"151",1992,1,-1,0,0,1,53.5,53.5,0.14,0,0,0,0,1,0,0,0,0,0,0,0,0
"152",1992,1,-1,0,0,1,54.5,54.5,0.28,0,0,0,0,1,0,0,0,0,0,0,0,0
"153",1992,1,-1,0,0,1,55.5,55.5,0.28,0,0,0,0,1,0,0,0,0,0,0,0,0
"154",1992,1,-1,0,0,1,57.5,57.5,0.28,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0
"155",1992,1,-1,0,0,1,58.5,58.5,0.42,0,0,0,0,1,0,0,0,0,0,0,0,0
"156",1992,1,-1,0,0,1,59.5,59.5,0.42,0,0,0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0
"157",1992,1,-1,0,0,1,60.5,60.5,0.7,0,0,0,0,0.2,0.8,0,0,0,0,0,0,0
"158",1992,1,-1,0,0,1,61.5,61.5,0.28,0,0,0,0,0,1,0,0,0,0,0,0,0
"159",1992,1,-1,0,0,1,62.5,62.5,0.14,0,0,0,0,1,0,0,0,0,0,0,0,0
"160",1992,1,-1,0,0,1,63.5,63.5,0.14,0,0,0,0,0,1,0,0,0,0,0,0,0
"161",1992,1,-1,0,0,1,64.5,64.5,0.14,0,0,0,0,0,1,0,0,0,0,0,0,0
"162",1992,1,-1,0,0,1,65.5,65.5,0.56,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"163",1992,1,-1,0,0,1,66.5,66.5,0.42,0,0,0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0
"164",1992,1,-1,0,0,1,67.5,67.5,0.42,0,0,0,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0
"165",1992,1,-1,0,0,1,68.5,68.5,0.14,0,0,0,0,0,1,0,0,0,0,0,0,0
"166",1992,1,-1,0,0,1,69.5,69.5,0.28,0,0,0,0,0,0,1,0,0,0,0,0,0
"167",1992,1,-1,0,0,1,70.5,70.5,0.28,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
"168",1992,1,-1,0,0,1,71.5,71.5,0.14,0,0,0,0,0,0,1,0,0,0,0,0,0
"169",1992,1,-1,0,0,1,72.5,72.5,0.14,0,0,0,0,0,0,1,0,0,0,0,0,0
"170",1992,1,-1,0,0,1,74.5,74.5,0.28,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
"171",1992,1,-1,0,0,1,75.5,75.5,0.14,0,0,0,0,0,0,1,0,0,0,0,0,0
"172",1992,1,-1,0,0,1,79.5,79.5,0.56,0,0,0,0,0,0,0.25,0.75,0,0,0,0,0
"173",1992,1,-1,0,0,1,80.5,80.5,0.28,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
"174",1992,1,-1,0,0,1,81.5,81.5,0.14,0,0,0,0,0,0,0,1,0,0,0,0,0
"175",1992,1,-1,0,0,1,83.5,83.5,0.14,0,0,0,0,0,0,0,1,0,0,0,0,0
"176",1992,1,-1,0,0,1,86.5,86.5,0.14,0,0,0,0,0,0,0,0,0,1,0,0,0
"177",1995,1,-1,0,0,1,98.5,98.5,0.14,0,0,1,0,0,0,0,0,0,0,0,0,0
"178",2007,1,1,0,0,1,103.5,103.5,0.14,0,0,0,0,0,0,0,0,0,1,0,0,0
"179",2007,1,1,0,0,1,108.5,108.5,0.14,0,0,0,0,0,0,0,1,0,0,0,0,0
"180",2007,1,1,0,0,1,31.5,31.5,0.14,0,1,0,0,0,0,0,0,0,0,0,0,0
"181",2007,1,1,0,0,1,36.5,36.5,0.28,0,1,0,0,0,0,0,0,0,0,0,0,0
"182",2007,1,1,0,0,1,37.5,37.5,0.28,0,1,0,0,0,0,0,0,0,0,0,0,0
"183",2007,1,1,0,0,1,38.5,38.5,0.28,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
"184",2007,1,1,0,0,1,39.5,39.5,0.14,0,0,1,0,0,0,0,0,0,0,0,0,0
"185",2007,1,1,0,0,1,40.5,40.5,0.14,0,0,1,0,0,0,0,0,0,0,0,0,0
"186",2007,1,1,0,0,1,41.5,41.5,0.28,0,1,0,0,0,0,0,0,0,0,0,0,0
"187",2007,1,1,0,0,1,43.5,43.5,0.14,0,0,1,0,0,0,0,0,0,0,0,0,0
"188",2007,1,1,0,0,1,44.5,44.5,0.56,0,0.25,0.5,0.25,0,0,0,0,0,0,0,0,0
"189",2007,1,1,0,0,1,45.5,45.5,0.56,0,0,1,0,0,0,0,0,0,0,0,0,0
"190",2007,1,1,0,0,1,46.5,46.5,0.28,0,0,1,0,0,0,0,0,0,0,0,0,0
"191",2007,1,1,0,0,1,47.5,47.5,0.28,0,0,1,0,0,0,0,0,0,0,0,0,0
"192",2007,1,1,0,0,1,48.5,48.5,0.42,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0
"193",2007,1,1,0,0,1,50.5,50.5,0.14,0,0,1,0,0,0,0,0,0,0,0,0,0
"194",2007,1,1,0,0,1,51.5,51.5,0.28,0,0,0,1,0,0,0,0,0,0,0,0,0
"195",2007,1,1,0,0,1,52.5,52.5,0.56,0,0,0.25,0.75,0,0,0,0,0,0,0,0,0
"196",2007,1,1,0,0,1,53.5,53.5,0.42,0,0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
"197",2007,1,1,0,0,1,54.5,54.5,0.42,0,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"198",2007,1,1,0,0,1,55.5,55.5,0.84,0,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"199",2007,1,1,0,0,1,56.5,56.5,0.56,0,0,0,1,0,0,0,0,0,0,0,0,0
"200",2007,1,1,0,0,1,57.5,57.5,0.84,0,0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
