"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"55",1990,1,4,0,0,1,63.5,63.5,2.52,0,0,0,0,0,0.944444444444444,0.0555555555555556,0,0,0,0,0
"56",1990,1,4,0,0,1,64.5,64.5,2.24,0,0,0,0,0.125,0.8125,0.0625,0,0,0,0,0
"57",1990,1,4,0,0,1,65.5,65.5,1.82,0,0,0,0,0,0.846153846153846,0.153846153846154,0,0,0,0,0
"58",1990,1,4,0,0,1,66.5,66.5,1.96,0,0,0,0,0.0714285714285714,0.785714285714286,0.142857142857143,0,0,0,0,0
"59",1990,1,4,0,0,1,67.5,67.5,1.68,0,0,0,0,0,1,0,0,0,0,0,0
"60",1990,1,4,0,0,1,68.5,68.5,2.38,0,0,0,0,0,0.941176470588235,0.0588235294117647,0,0,0,0,0
"61",1990,1,4,0,0,1,69.5,69.5,1.68,0,0,0,0,0,0.416666666666667,0.583333333333333,0,0,0,0,0
"62",1990,1,4,0,0,1,70.5,70.5,1.54,0,0,0,0,0,0.181818181818182,0.818181818181818,0,0,0,0,0
"63",1990,1,4,0,0,1,71.5,71.5,1.12,0,0,0,0,0,0,1,0,0,0,0,0
"64",1990,1,4,0,0,1,72.5,72.5,1.96,0,0,0,0,0,0.0714285714285714,0.928571428571429,0,0,0,0,0
"65",1990,1,4,0,0,1,73.5,73.5,2.1,0,0,0,0,0,0,0.933333333333333,0.0666666666666667,0,0,0,0
"66",1990,1,4,0,0,1,74.5,74.5,1.82,0,0,0,0,0,0.0769230769230769,0.846153846153846,0.0769230769230769,0,0,0,0
"67",1990,1,4,0,0,1,75.5,75.5,1.4,0,0,0,0,0,0,0.9,0.1,0,0,0,0
"68",1990,1,4,0,0,1,76.5,76.5,1.54,0,0,0,0,0,0,0.909090909090909,0.0909090909090909,0,0,0,0
"69",1990,1,4,0,0,1,77.5,77.5,1.4,0,0,0,0,0,0,0.7,0.3,0,0,0,0
"70",1990,1,4,0,0,1,78.5,78.5,1.26,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0,0,0,0
"71",1990,1,4,0,0,1,79.5,79.5,1.54,0,0,0,0,0,0,0.181818181818182,0.636363636363636,0.0909090909090909,0.0909090909090909,0,0
"72",1990,1,4,0,0,1,80.5,80.5,1.4,0,0,0,0,0,0,0.1,0.8,0.1,0,0,0
"73",1990,1,4,0,0,1,81.5,81.5,0.7,0,0,0,0,0,0,0,0.8,0.2,0,0,0
"74",1990,1,4,0,0,1,82.5,82.5,0.28,0,0,0,0,0,0,0,1,0,0,0,0
"75",1990,1,4,0,0,1,83.5,83.5,0.7,0,0,0,0,0,0,0,1,0,0,0,0
"76",1990,1,4,0,0,1,84.5,84.5,0.98,0,0,0,0,0,0,0,1,0,0,0,0
"77",1990,1,4,0,0,1,85.5,85.5,0.84,0,0,0,0,0,0,0,0.833333333333333,0,0,0,0.166666666666667
"78",1990,1,4,0,0,1,86.5,86.5,0.56,0,0,0,0,0,0,0,1,0,0,0,0
"79",1990,1,4,0,0,1,87.5,87.5,0.14,0,0,0,0,0,0,0,1,0,0,0,0
"80",1990,1,4,0,0,1,88.5,88.5,0.42,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0.333333333333333
"81",1990,1,4,0,0,1,89.5,89.5,0.98,0,0,0,0,0,0,0,0.142857142857143,0.714285714285714,0,0,0.142857142857143
"82",1990,1,4,0,0,1,91.5,91.5,0.14,0,0,0,0,0,0,0,0,1,0,0,0
"83",1990,1,4,0,0,1,92.5,92.5,0.14,0,0,0,0,0,0,0,0,1,0,0,0
"84",1990,1,4,0,0,1,93.5,93.5,0.28,0,0,0,0,0,0,0,0,0.5,0.5,0,0
"85",1990,1,4,0,0,1,96.5,96.5,0.14,0,0,0,0,0,0,0,0,0,0,0,1
"86",1991,1,4,0,0,1,100.5,100.5,0.14,0,0,0,0,0,0,0,0,0,0,1,0
"87",1991,1,4,0,0,1,103.5,103.5,0.14,0,0,0,0,0,0,0,0,0,0,0,1
"88",1991,1,4,0,0,1,12.5,12.5,0.14,1,0,0,0,0,0,0,0,0,0,0,0
"89",1991,1,4,0,0,1,13.5,13.5,0.42,1,0,0,0,0,0,0,0,0,0,0,0
"90",1991,1,4,0,0,1,14.5,14.5,0.7,1,0,0,0,0,0,0,0,0,0,0,0
"91",1991,1,4,0,0,1,15.5,15.5,0.84,1,0,0,0,0,0,0,0,0,0,0,0
"92",1991,1,4,0,0,1,16.5,16.5,0.98,1,0,0,0,0,0,0,0,0,0,0,0
