
Initial statistics: 66 variables; iteration 0; function evaluation 0; phase 1
Function value 8.6237970e+03; maximum gradient component mag -1.5319e+05
 13 -0.00375  1.01400e+01 | 14 -0.00297  1.47862e+01 | 15 -0.00172  2.11647e+01
 16  0.00045  2.97059e+01 | 17  0.00198  3.95683e+01 | 18 -0.00789  4.38007e+01
 19 -0.04165  3.38020e+01 | 20 -0.06239  2.85930e+01 | 21 -0.02359  5.38783e+01
 22  0.04551  1.14415e+02 | 23  0.05021 -5.31738e+01 | 24  0.08068  8.53939e+01
 25  0.04232  5.56496e+01 | 26  0.04111  2.81055e+02 | 27  0.05838  5.14989e+02
 28  0.04512 -1.83943e+02 | 29  0.03855  8.86151e+01 | 30  0.00037 -3.54446e+02
 31  0.05977  7.07042e+02 | 32  0.01359  9.47440e+02 | 33  0.08458  2.51356e+03
 34  0.03144  1.21910e+03 | 35  0.05327  8.70022e+02 | 36  0.07539  9.64410e+02
 37  0.10304  1.05104e+03 | 38  0.08674  5.54378e+02 | 39  0.09368  1.09445e+03
 40  0.04179  8.98458e+02 | 41  0.05741  1.05796e+03 | 42  0.13669  1.60014e+03
 43 -0.06347 -6.10645e+01 | 44 -1.98818 -1.33871e+02 | 45  0.14266  8.42625e+02
 46  0.00625 -2.10117e+02 | 47  0.03123 -4.90446e+01 | 48 -0.23208 -4.13294e+02
 49  0.03854  1.63557e+02 | 50 -0.02647  5.62829e+01 | 51  0.08622  7.66925e+01
 52 -0.16434 -6.42551e+02 | 53  0.00928 -3.19310e+02 | 54  0.18468  3.36227e+01
 55 -0.04467 -3.51366e+02 | 56  0.07173 -6.22942e+02 | 57  0.12507 -5.15458e+02
 58  0.09094 -2.98799e+02 | 59  0.18650  7.85775e+01 | 60  0.04597 -2.15260e+02
 61 -0.42618 -4.80264e+02 | 62 -1.26731  2.29050e+02 | 63  0.07121 -9.62728e+01
 64  0.12754 -4.21799e+02 | 65 -0.74729 -1.58693e+02 | 66  0.03421 -1.77415e+02
66 variables; iteration 60; function evaluation 79; phase 1
Function value 8.3662501e+02; maximum gradient component mag 5.2703e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.48815  5.27033e+03 |  2 -0.00817  1.38094e+03 |  3 -0.07796 -1.00628e+01
  4 -0.04832 -6.25905e+00 |  5 -0.06632 -8.60876e+00 |  6 -0.08562 -1.10667e+01
  7 -0.09965 -1.27041e+01 |  8 -0.09051 -1.09182e+01 |  9 -0.02551  2.23132e-01
 10  0.04583  1.60112e+01 | 11 -0.01566  6.47329e+00 | 12 -0.11204 -9.51582e+00
 13 -0.02297  1.35875e+01 | 14 -0.00962  2.48802e+01 | 15 -0.10362  2.88865e+00
 16 -0.25567 -2.51849e+01 | 17 -0.25582 -2.34458e+01 | 18 -0.17010 -2.94740e+00
 19 -0.39973 -3.86200e+01 | 20 -0.15429  7.14450e+00 | 21 -0.08980  4.46540e+01
 22 -0.20284  4.62912e-01 | 23  0.09940  6.23592e+01 | 24  0.06384  2.32384e+01
 25  0.02990 -2.74960e+01 | 26 -0.00765  1.60551e+01 | 27 -0.01023  1.18081e+02
 28  0.06891 -4.85423e+00 | 29 -0.01812 -4.05523e+01 | 30  0.05569 -5.83810e+01
 31  0.02524  3.60790e+02 | 32 -0.05545  2.58774e+02 | 33  0.02271  1.30580e+03
 34 -0.03221  4.53958e+02 | 35  0.03666  4.78044e+02 | 36  0.05351  5.06253e+02
 37  0.06603  3.95129e+02 | 38  0.06524  1.09694e+02 | 39  0.09783  8.98420e+02
 40  0.02245  5.18402e+02 | 41 -0.02285  1.31541e+02 | 42  0.07263  1.20336e+02
 43 -0.01165 -3.66216e+02 | 44 -1.62232  3.63713e+02 | 45  0.09455 -4.02200e+02
 46  0.03621 -3.34970e+02 | 47 -0.02922 -3.51936e+02 | 48 -0.26244 -4.46372e+02
 49  0.05246  6.41881e+02 | 50  0.02537  7.11901e+02 | 51  0.04153  1.15198e+02
 52 -0.16751 -6.28392e+02 | 53  0.03712  1.47403e+02 | 54  0.17864  1.09443e+03
 55 -0.14111 -3.07148e+02 | 56  0.08096 -1.32592e+02 | 57  0.15688  3.49463e+02
 58  0.02290 -3.30911e+02 | 59  0.14458 -7.03553e+01 | 60 -0.02729 -2.03041e+02
 61 -0.06227 -4.05055e+02 | 62 -1.57262  4.21835e+02 | 63  0.05193 -2.79020e+01
 64  0.09295 -3.20245e+02 | 65 -0.07483 -2.89986e+02 | 66 -0.02512 -2.99601e+02
Maximum number of function evaluations exceeded

 - final statistics:
66 variables; iteration 75; function evaluation 100
Function value 4.7049e+02; maximum gradient component mag 1.5159e+03
Exit code = 3;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.51962  1.51589e+03 |  2 -0.04533  2.78089e+02 |  3 -0.25378 -3.17073e+01
  4  0.05734  8.24923e+00 |  5 -0.20952 -2.71001e+01 |  6  0.46439  5.27842e+01
  7 -0.01472 -1.50129e+00 |  8 -0.08240 -1.08857e+01 |  9 -0.04701 -5.60077e+00
 10 -0.19254 -2.48144e+01 | 11  0.02714  7.35563e+00 | 12  0.13692  3.04241e+01
 13 -0.13103 -1.56356e+01 | 14 -0.09483 -8.99982e+00 | 15 -0.09390 -7.24661e+00
 16 -0.07723 -1.90525e+00 | 17 -0.02234  1.44466e+01 | 18 -0.19179 -1.96400e+01
 19 -0.01365  2.40841e+01 | 20  0.01681  3.81858e+01 | 21  0.11640  9.24814e+01
 22 -0.02557  1.62681e+01 | 23  0.02970 -1.33772e+02 | 24  0.05856 -1.36380e+02
 25  0.02602 -1.26118e+02 | 26 -0.01388 -5.23506e+01 | 27 -0.08790 -8.56859e+01
 28  0.09968  5.25802e+01 | 29 -0.04972 -3.18406e+01 | 30  0.11711  2.09692e+02
 31 -0.00715  5.88184e-01 | 32 -0.09314 -4.94273e+01 | 33 -0.07515  1.97728e+02
 34 -0.07942  8.35040e+00 | 35  0.04763  8.73351e+01 | 36  0.03218  5.16033e+01
 37  0.05641  1.22883e+02 | 38  0.13736  2.33216e+02 | 39  0.03334  1.24286e+02
 40  0.00928  1.76022e+02 | 41 -0.06140 -6.98580e+01 | 42  0.04051 -1.07160e+02
 43  0.06586  1.27743e+02 | 44 -1.25534  1.14405e+02 | 45  0.15267  5.76924e+02
 46  0.02438 -2.46754e+02 | 47 -0.09961 -3.51224e+02 | 48 -0.11830 -3.59575e+02
 49  0.02935  1.98929e+02 | 50 -0.04444  8.92433e+01 | 51  0.04109  1.44664e+02
 52  0.04832 -1.51853e+02 | 53 -0.12292 -2.87156e+02 | 54  0.17296  2.49372e+02
 55 -0.04988 -1.50390e+02 | 56  0.10584 -2.16035e+02 | 57  0.11378 -2.47545e+02
 58  0.07374 -2.51767e+02 | 59  0.13604 -3.38858e+02 | 60 -0.06911 -2.13782e+02
 61  0.01998  9.26729e+01 | 62 -1.79566  2.95634e+02 | 63 -0.00023 -2.04836e+02
 64  0.10094 -3.82013e+02 | 65 -0.07500 -1.71869e+02 | 66 -0.01920 -1.85662e+02

Initial statistics: 71 variables; iteration 0; function evaluation 0; phase 2
Function value 4.6812466e+02; maximum gradient component mag 1.5159e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.85214 -7.50626e+01 |  2  0.44244 -4.30936e+01 |  3  0.06765 -3.21649e+02
  4 -0.54192 -8.95972e+02 |  5 -0.50654 -5.90579e+02 |  6 -0.51962  1.51589e+03
  7 -0.04533  2.78089e+02 |  8 -0.25378 -3.17073e+01 |  9  0.05734  8.24923e+00
 10 -0.20952 -2.71001e+01 | 11  0.46439  5.27842e+01 | 12 -0.01472 -1.50129e+00
 13 -0.08240 -1.08857e+01 | 14 -0.04701 -5.60077e+00 | 15 -0.19254 -2.48144e+01
 16  0.02714  7.35563e+00 | 17  0.13692  3.04241e+01 | 18 -0.13103 -1.56356e+01
 19 -0.09483 -8.99982e+00 | 20 -0.09390 -7.24661e+00 | 21 -0.07723 -1.90525e+00
 22 -0.02234  1.44466e+01 | 23 -0.19179 -1.96400e+01 | 24 -0.01365  2.40841e+01
 25  0.01681  3.81858e+01 | 26  0.11640  9.24814e+01 | 27 -0.02557  1.62681e+01
 28  0.03166 -7.88994e+01 | 29  0.06053 -8.16684e+01 | 30  0.02798 -7.12344e+01
 31 -0.01192  2.55684e+00 | 32 -0.08592 -3.13016e+01 | 33  0.10166  1.06776e+02
 34 -0.04776  2.29177e+01 | 35  0.11910  2.63531e+02 | 36 -0.00519  5.55067e+01
 37 -0.09116  4.90855e+00 | 38 -0.07318  2.52358e+02 | 39 -0.07744  6.28681e+01
 40  0.04959  1.42068e+02 | 41  0.03415  1.06436e+02 | 42  0.05838  1.77538e+02
 43  0.13937  2.86663e+02 | 44  0.03530  1.79102e+02 | 45  0.01124  2.30925e+02
 46 -0.05943 -1.51973e+01 | 47  0.04247 -5.23404e+01 | 48  0.06782  1.82311e+02
 49 -0.73969 -9.46715e+01 | 50  0.15469  6.29781e+02 | 51  0.02634 -1.91850e+02
 52 -0.09763 -2.97119e+02 | 53 -0.11631 -3.05779e+02 | 54  0.03132  2.53754e+02
 55 -0.04247  1.44060e+02 | 56  0.04306  1.99429e+02 | 57  0.05028 -9.70677e+01
 58 -0.12093 -2.33398e+02 | 59  0.17499  3.02007e+02 | 60 -0.04792 -9.56610e+01
 61  0.10782 -1.61786e+02 | 62  0.11577 -1.93389e+02 | 63  0.07571 -1.97143e+02
 64  0.13804 -2.84991e+02 | 65 -0.06714 -1.59238e+02 | 66  0.02194  1.47551e+02
 67 -0.20227 -2.43780e+02 | 68  0.00173 -1.49915e+02 | 69  0.10293 -3.27617e+02
 70 -0.07303 -1.17372e+02 | 71 -0.01724 -1.30779e+02 |

Intermediate statistics: 71 variables; iteration 20; function evaluation 25; phase 2
Function value 3.1314559e+02; maximum gradient component mag -1.4079e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.88141  6.13250e+01 |  2  0.45111 -3.57378e+01 |  3  0.06877 -5.13749e+02
  4 -0.51618 -1.40790e+03 |  5 -0.53043 -1.05791e+03 |  6 -0.49024 -6.41041e+02
  7 -0.03024  6.62229e+02 |  8  0.01709  2.85281e+00 |  9 -0.00851 -9.89047e-01
 10  0.01767  2.82118e+00 | 11  0.00344  9.58458e-01 | 12 -0.00191  4.17523e-01
 13  0.00552  1.84792e+00 | 14 -0.00139  1.31691e+00 | 15  0.01196  4.14283e+00
 16 -0.02314 -4.68243e-01 | 17 -0.05670 -4.78309e+00 | 18 -0.00804  5.43470e+00
 19 -0.02403  4.91838e+00 | 20 -0.03623  5.50416e+00 | 21 -0.05451  4.86843e+00
 22 -0.08497  8.76850e-01 | 23 -0.04536  1.39782e+01 | 24 -0.09083  2.06826e+00
 25 -0.08394  2.99840e+00 | 26 -0.04475  1.28583e+01 | 27 -0.03942  9.99562e+00
 28  0.04311  1.86423e+02 | 29  0.07791  1.89419e+02 | 30  0.04279  1.73228e+02
 31 -0.04998  1.77714e+02 | 32 -0.10933  1.73258e+02 | 33  0.10326  1.96039e+02
 34 -0.09252  1.63940e+02 | 35  0.11239  1.19593e+02 | 36 -0.01703  1.31459e+02
 37 -0.08601  1.56493e+02 | 38 -0.15587  2.17496e+02 | 39 -0.08146  1.48748e+02
 40  0.02625 -3.95046e+01 | 41  0.03628  5.29188e+01 | 42  0.03418  2.53544e+01
 43  0.11289 -2.32752e+02 | 44  0.04228  1.08100e+02 | 45 -0.04291  1.77115e+02
 46 -0.06559  1.68004e+02 | 47  0.06607  2.30693e+02 | 48  0.03488  3.05342e+02
 49 -0.10050  1.54754e+02 | 50  0.10474  2.85810e+02 | 51  0.06490  1.20953e+02
 52 -0.12689  3.93198e+01 | 53 -0.01964  5.45530e+01 | 54 -0.03739  1.35497e+02
 55 -0.05652  1.95880e+02 | 56  0.01402  1.38776e+02 | 57  0.04778  1.28702e+02
 58 -0.02382  1.92890e+02 | 59  0.15183  3.29288e+02 | 60 -0.01726  1.53416e+02
 61  0.09461 -7.12678e+01 | 62  0.10161 -1.66822e+02 | 63  0.07103 -1.17665e+02
 64  0.11649 -4.13656e+02 | 65 -0.05243  4.86030e+01 | 66 -0.05125  2.09910e+01
 67 -0.04372  1.35097e+02 | 68 -0.09256 -2.70953e+01 | 69  0.10933 -2.48119e+02
 70 -0.10374  9.05346e+01 | 71 -0.03516  6.28566e+01 |
71 variables; iteration 40; function evaluation 46; phase 2
Function value 2.6974324e+02; maximum gradient component mag 9.8571e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.88849 -2.85987e+01 |  2  0.44532  3.38325e+01 |  3  0.06454  3.55423e+02
  4 -0.50725  9.85714e+02 |  5 -0.53456  7.37040e+02 |  6 -0.49051  4.76006e+02
  7 -0.04623  2.44731e+02 |  8 -0.00749 -6.78276e-01 |  9  0.00475  8.68680e-01
 10 -0.01025 -1.15899e+00 | 11 -0.06861 -9.23969e+00 | 12 -0.00438  1.67887e-02
 13 -0.01389 -1.07270e+00 | 14 -0.01179 -3.48126e-01 | 15 -0.02709 -2.08361e+00
 16 -0.01087  1.29039e+00 | 17 -0.02764 -2.76783e-01 | 18 -0.01594  3.41961e+00
 19 -0.02263  4.45561e+00 | 20 -0.03210  5.37818e+00 | 21 -0.05383  3.73255e+00
 22 -0.09010 -1.67378e+00 | 23 -0.06634  5.87322e+00 | 24 -0.07670  3.45748e+00
 25 -0.05917  6.70287e+00 | 26 -0.04302  1.00184e+01 | 27 -0.04001  7.83409e+00
 28 -0.00170 -2.15146e+00 | 29  0.10354  6.71202e+01 | 30  0.01879  7.91039e+00
 31 -0.03465  2.01306e+01 | 32 -0.12266 -1.20567e+01 | 33  0.09865  6.04011e+01
 34 -0.10015 -1.21268e+01 | 35  0.10599  4.00975e+01 | 36 -0.01226  2.56561e+01
 37 -0.08224  2.16446e+01 | 38 -0.18971  2.50050e+01 | 39 -0.08523  2.72369e+01
 40  0.03775 -6.79481e+00 | 41  0.00506 -2.76413e+01 | 42  0.04266  9.28989e+01
 43  0.13337  1.24228e+02 | 44  0.01550  3.97621e+01 | 45 -0.06820 -6.33757e+00
 46 -0.06689 -2.38932e+00 | 47  0.05530  2.81979e+01 | 48  0.01741  5.62234e+01
 49 -0.11079 -3.83745e+01 | 50  0.09714  2.01752e+02 | 51  0.06418  1.42655e+02
 52 -0.06099 -1.45014e+01 | 53 -0.03902 -6.31873e+01 | 54 -0.03460 -1.62963e+01
 55 -0.07751 -2.29319e+01 | 56  0.00566 -6.85422e+01 | 57  0.04573 -6.81756e+01
 58 -0.03755 -5.50112e+01 | 59  0.12624 -7.81572e+01 | 60 -0.00331  4.34299e+00
 61  0.09534 -6.38099e+01 | 62  0.10093 -9.96325e+01 | 63  0.06372 -8.14277e+01
 64  0.13517 -8.72468e+01 | 65 -0.06906 -7.04930e+01 | 66 -0.05915 -9.78214e+01
 67 -0.07995 -1.38530e+01 | 68 -0.03293 -4.20194e+01 | 69  0.11212 -4.77901e+01
 70 -0.09678 -2.61148e+01 | 71 -0.01942  1.80052e+01 |
71 variables; iteration 60; function evaluation 74; phase 2
Function value 2.6140526e+02; maximum gradient component mag 3.9235e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.88868 -2.94011e+00 |  2  0.44389  1.09616e+01 |  3  0.09244  1.37533e+02
  4 -0.52155  3.92349e+02 |  5 -0.52976  3.23017e+02 |  6 -0.49579  1.61889e+02
  7 -0.05047  2.88418e+00 |  8 -0.01110 -1.29144e+00 |  9  0.00447  7.71137e-01
 10 -0.01243 -1.54182e+00 | 11 -0.03449 -4.56121e+00 | 12 -0.00440 -1.62388e-01
 13 -0.01278 -1.15474e+00 | 14 -0.01140 -6.54488e-01 | 15 -0.02585 -2.37349e+00
 16 -0.00900  7.94925e-01 | 17  0.00079  3.32870e+00 | 18 -0.03450 -1.29445e+00
 19 -0.03760 -3.72699e-01 | 20 -0.04414  2.73967e-01 | 21 -0.05693 -1.49720e-01
 22 -0.07654 -2.29871e+00 | 23 -0.05995  2.07889e+00 | 24 -0.07884 -2.84720e+00
 25 -0.06371 -2.04602e+00 | 26 -0.02321  3.37278e+00 | 27 -0.03083 -3.97168e+00
 28  0.02434 -3.23380e+01 | 29  0.06641 -3.98683e+01 | 30  0.05773 -2.73593e+01
 31 -0.05924 -1.55122e+01 | 32 -0.12499 -1.99753e+01 | 33  0.10133 -3.14365e+01
 34 -0.11524 -2.33336e+01 | 35  0.11471 -1.73140e+01 | 36 -0.01601 -2.32869e+01
 37 -0.09083 -2.92165e+01 | 38 -0.21890 -4.72866e+00 | 39 -0.09319 -8.61393e+00
 40  0.04388  1.31316e+01 | 41  0.02245  1.95175e+01 | 42  0.02414  4.00943e+01
 43  0.14117  1.18227e+02 | 44  0.01207  4.40833e+01 | 45 -0.05593  2.07254e+01
 46 -0.07237  8.19533e+00 | 47  0.06125  4.49125e+01 | 48  0.01256  6.46712e+01
 49 -0.08064  4.81544e+00 | 50  0.09462  1.29352e+02 | 51  0.05831  5.36656e+01
 52 -0.06243 -6.30153e+00 | 53 -0.02260 -3.74498e+00 | 54 -0.03668 -1.72615e+00
 55 -0.08096 -1.36061e+01 | 56  0.01275 -1.74320e+01 | 57  0.04702 -2.51481e+01
 58 -0.03064 -1.52686e+01 | 59  0.13141 -6.86018e+01 | 60 -0.03521 -2.24017e+01
 61  0.10461 -3.26690e+01 | 62  0.10408 -4.03594e+01 | 63  0.06750 -3.78339e+01
 64  0.13468 -5.84814e+01 | 65 -0.06266 -3.04176e+01 | 66 -0.04233 -1.41971e+01
 67 -0.09312 -1.88091e+01 | 68 -0.03621 -3.16450e+01 | 69  0.11873 -1.43672e+01
 70 -0.10328 -2.27035e+01 | 71 -0.03131 -1.99111e+01 |
Maximum number of function evaluations exceeded

 - final statistics:
71 variables; iteration 76; function evaluation 100
Function value 2.5923e+02; maximum gradient component mag -1.4643e+02
Exit code = 3;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.95700  5.87554e+00 |  2  0.44621 -2.08147e+00 |  3  0.08647 -5.18443e+01
  4 -0.51771 -1.46427e+02 |  5 -0.53323 -1.07044e+02 |  6 -0.49839 -8.17078e+01
  7 -0.05128 -1.81997e+01 |  8  0.00303  7.14197e-01 |  9  0.00169  3.82688e-01
 10  0.00000  2.13839e-01 | 11  0.00229  6.43160e-01 | 12 -0.00328  3.54862e-03
 13 -0.00767 -4.09076e-01 | 14 -0.00771 -1.03466e-01 | 15 -0.00911  1.43229e-01
 16 -0.01770 -5.38602e-01 | 17 -0.02471 -7.93299e-01 | 18 -0.02883 -3.29824e-01
 19 -0.03155  7.20384e-01 | 20 -0.05019 -8.55466e-01 | 21 -0.05608  1.20736e-02
 22 -0.06674 -3.18783e-01 | 23 -0.07484 -1.15864e+00 | 24 -0.06227  4.74478e-01
 25 -0.05797 -1.12672e+00 | 26 -0.04969 -1.65539e+00 | 27 -0.02321 -1.65483e+00
 28  0.03208  2.66505e+00 | 29  0.07490  3.78154e-01 | 30  0.05470 -6.02144e-01
 31 -0.06686  2.10372e+00 | 32 -0.12311  4.64053e+00 | 33  0.10193 -8.64147e+00
