"","age_0","age_1","age_2","age_3","age_4","age_5","age_6","age_7","age_8","age_9","age_10","age_11","age_12+","Year","Region"
"X12",3.18381822080653e-06,0.148427147203371,0.231400473394914,0.200403968394513,0.127326703293653,0.0729283146597292,0.100398771675741,0.0695388842270172,0.0289731206837224,0.0114677362593621,0.00407660567740536,0.00447048646058389,0.000584604251766747,2005,"Both"
"X13",0,0.336858187680718,0.134591977860498,0.159496121926488,0.111670871630386,0.0923856918471072,0.0669446705233313,0.0505603430419473,0.0306462105455753,0.010942020377457,0.00356902810534734,0.00140384167633764,0.000931034784806271,2006,"Both"
"X14",0,0.664599862599659,0.100074416053582,0.0712134587596461,0.0488465767214078,0.0531864872516737,0.022835449390501,0.0186801928572834,0.010034104123696,0.00622529493191082,0.00204717045849888,0.00118458971989407,0.00107239713224806,2007,"Both"
"X15",0,0.212691670108574,0.419496837437523,0.150245300649046,0.0903538517826992,0.0530101599996148,0.0336846229277632,0.0123287715313619,0.0133299123272619,0.00772665677276455,0.00319183168224652,0.00234520243906173,0.00159518234208359,2008,"Both"
"X16",0,0.475761294722559,0.18248655779956,0.218170544684198,0.0607301371004743,0.0269681656618628,0.014853018548727,0.00994481924829151,0.00613816191895529,0.00236621995867612,0.00126295787326798,0.000820357708226561,0.000497764775200502,2009,"Both"
"X17",0,0.0473453034722087,0.499614275318744,0.173633147916757,0.188486030192534,0.0591150579883569,0.0154891257172651,0.00856825714575852,0.00396510446422715,0.00210534377375244,0.000806467910268644,0.000718566146660415,0.000153319953467497,2010,"Both"
"X18",7.90060201337088e-05,0.296906824521595,0.0711490475115737,0.371748280018368,0.113124536248399,0.0977197417702578,0.0318454440176362,0.00839427991859861,0.00417212575123319,0.00214668869715667,0.0013849319050484,0.000769636910781405,0.000559456709218302,2011,"Both"
"X19",0,0.366741283438161,0.242022901255341,0.05955090316885,0.219605454069147,0.0634340264677317,0.0334595150731169,0.00876329831972816,0.00307099742348084,0.00219317169941898,0.000712369296337929,0.000174156171684166,0.000271923617001559,2012,"Both"
"X20",0,0.101177792045813,0.358066414485024,0.19535297611262,0.123053510254175,0.138220668545077,0.0623222196124606,0.0148569547743539,0.00464141870372055,0.00129525981587108,0.00028274379501856,0.000372113894433779,0.000357927961432672,2013,"Both"
"X21",3.90229600612405e-05,0.279780721604798,0.170811574861887,0.224220984156372,0.203061319827907,0.0585358202774252,0.0461214502388552,0.0121463516476311,0.00259860995041896,0.00103640865991736,0.000921698330884589,9.8150751331786e-05,0.000627886732509851,2014,"Both"
"X22",1.89596289658888e-05,0.0586211652756971,0.420193157100429,0.207010891962755,0.194656575075931,0.0847752423218171,0.0190674021418966,0.0118785629274053,0.00269038162271631,0.000510879020132141,0.000262035265596995,0.000107917363506695,0.000206830293150165,2015,"Both"
"X23",2.38913774255262e-06,0.0858041580649657,0.0931957020011842,0.347799695683131,0.226694330098485,0.171622430171522,0.056164189667435,0.0126404270543725,0.00380473219973814,0.00140248430480127,0.000469053726004824,0.000259563060772576,0.000140844829845388,2016,"Both"
"X24",6.59553463615372e-05,0.107664962477616,0.169886447782225,0.159903305720305,0.286182848206054,0.161788626303323,0.0817516993896257,0.0240006447816369,0.00394010134253449,0.00304698305609437,0.000590555913377189,0.000519413488776937,0.000658456192069531,2017,"Both"
"X25",3.28023879513736e-05,0.0726955729192895,0.0986706089120387,0.254289373798565,0.166700708865224,0.286684818626424,0.0859803367394381,0.0293810796190576,0.00264144075124544,0.00178620026681324,0.000511078696960511,0.000213522694624985,0.000412455722367521,2018,"Both"
"X26",7.88564172346915e-06,0.573444882863358,0.0855864588210376,0.0799823518366,0.0793032977489109,0.0638840021034136,0.0784005918749401,0.0298800041800988,0.00698785411778736,0.00121133331985843,0.000385583762103816,0.000207763230691311,0.000717990499476579,2019,"Both"
"X27",0.00014310754829721,0.0987458279652507,0.38606541223074,0.176792772343875,0.116779655968609,0.111590979083614,0.0751721794417742,0.0195220696352103,0.00759396464866235,0.00400543307453707,0.00131667570719208,0.00107538120999064,0.00119654114224744,1994,"EBS"
"X28",9.044038485117e-05,0.0559834844457604,0.255312388933874,0.432317251329148,0.105048891703143,0.0734162707403829,0.0497924796387134,0.0127012836444702,0.00638768905822786,0.00509547600510879,0.00129267443578443,0.00132985081913087,0.00123181886140522,1995,"EBS"
"X29",2.2731635135884e-05,0.0635156833513857,0.200598015319859,0.188508389120261,0.2926905664834,0.140125111333412,0.0663580853700973,0.0313193380773701,0.00857004712709897,0.00343057242506499,0.00175403537882669,0.00157712614526045,0.00153029823282709,1996,"EBS"
"X30",0.000220337800170481,0.260006976156159,0.17945660248849,0.163053655780077,0.151210007519375,0.118106424280312,0.0893459181179772,0.0233887382246383,0.00994647359106237,0.00218574059683577,0.00166078278303069,0.00083938205194194,0.000578960609930557,1997,"EBS"
"X31",4.79770748746784e-05,0.0717875937119342,0.448266076506001,0.201497907969356,0.113338991697074,0.0566370786859831,0.057123989842477,0.0293954742273991,0.0164196135726286,0.00354217824874161,0.000722745647265159,0.000803136869612707,0.000417235946652791,1998,"EBS"
"X32",5.12266083847877e-05,0.0892401566446889,0.196948203825695,0.312639376897231,0.223963714461627,0.0739197784840084,0.0556705713493689,0.0272849466086671,0.0119327899529679,0.00537959388233436,0.00102662749465171,0.00132580366381701,0.000617210126557759,1999,"EBS"
"X33",0,0.203057057537749,0.120050036923232,0.167264097212037,0.249958182855346,0.158080598399857,0.0617347159489103,0.0142468562031795,0.01519616542118,0.00467633556329606,0.00352147997627717,0.00156543912133509,0.000649034837600512,2000,"EBS"
"X34",2.62979482551013e-05,0.285228691610182,0.24097092657192,0.193483528155495,0.0896483856062637,0.0870352999702651,0.0675396974617045,0.0244935579019068,0.00700567554424598,0.00173455484669189,0.00138409557566713,0.00102614988761177,0.000423138919791116,2001,"EBS"
"X35",0.000169197479656513,0.0727577241709079,0.191532139936956,0.312025852929406,0.247358739931598,0.0702873442625966,0.0565879783023762,0.0354685284498716,0.0090651979088167,0.00282806268379103,0.000898009961562495,0.000464746332610068,0.000556477649850961,2002,"EBS"
"X36",4.19020478872441e-06,0.166251473446152,0.15337052374177,0.245934907426408,0.216183290940853,0.123504711970158,0.0440155410536831,0.0299904603759536,0.0153603331044013,0.00354825171716825,0.000471733365568697,0.000616291674912198,0.000748290978182484,2003,"EBS"
"X37",3.31954288910959e-05,0.130882548650693,0.157542617690858,0.280862546702311,0.132271607517523,0.133285806244471,0.0951588908407671,0.0374022060179859,0.0199315395618023,0.0077983070621626,0.0020917576695194,0.00197350338312885,0.000765473229886325,2004,"EBS"
"X38",2.50815901679278e-06,0.154392413116933,0.237100785908434,0.206837849756926,0.13023115109267,0.0705768949267584,0.0917881968110611,0.0634365733320204,0.0262394792939617,0.0106226764367451,0.00376725072366534,0.00445261216951179,0.000551608272296603,2005,"EBS"
"X39",0,0.329083984425068,0.140686775750009,0.168351715209128,0.116673671290943,0.092546181519652,0.063129886840762,0.0467838679898645,0.0276246413658064,0.0097934602353771,0.00316109758258529,0.00132910569748268,0.000835612093321691,2006,"EBS"
"X40",0,0.660761513016941,0.104053568703346,0.0755189415825005,0.0508105656388138,0.0526308299746218,0.0211958327572877,0.0170477405394274,0.00867816015008792,0.00540926324451877,0.00180505687304484,0.00112323275244202,0.000965294766968735,2007,"EBS"
"X41",0,0.208814610432028,0.429573078408234,0.154029679519352,0.0909513912370344,0.0514406965148968,0.0310005207691859,0.0111971739181163,0.0106046430638757,0.00625979118569288,0.00257824883825207,0.00214236719409386,0.0014077989192387,2008,"EBS"
"X42",0,0.451210933691788,0.193421577970815,0.231010589630057,0.064150752959325,0.0278888416185377,0.0143418879161182,0.00922846552095151,0.00469655882080276,0.00184075922946845,0.00101994371830878,0.000747990773744004,0.000441698150083735,2009,"EBS"
"X43",0,0.0453456136530721,0.503332226373235,0.175096482071062,0.190015621148755,0.0587598188294339,0.014477335481724,0.0076420754926336,0.00255996280845134,0.00143689264215372,0.00058961452579562,0.000611514301456395,0.000132842672227807,2010,"EBS"
