
 - final statistics:
2 variables; iteration 0; function evaluation 0
Function value 1.8041e+04; maximum gradient component mag -1.4896e-01
Exit code = 0;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.18710 -1.48961e-01 |  2  0.02667  1.46809e-01 |

 - final statistics:
121 variables; iteration 0; function evaluation 0
Function value 1.8041e+04; maximum gradient component mag 3.0832e-01
Exit code = 0;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 40  0.08505  1.74123e-02 | 41 -0.02934  5.08568e-03 | 42 -0.05882  4.67222e-03
 43 -0.06710  5.37392e-03 | 44  0.05884  1.42586e-02 | 45 -0.03884  5.62276e-03
 46 -0.07673  4.57578e-03 | 47  0.03448  1.19338e-02 | 48  0.02301  8.96110e-03
 49 -0.10160  3.86160e-03 | 50 -0.02925  6.82204e-03 | 51 -0.07454  4.77393e-03
 52 -0.10377  3.63073e-03 | 53 -0.04301  6.89282e-03 | 54  0.05531  1.18424e-02
 55 -0.02287  5.83944e-03 | 56  0.09820  1.24090e-02 | 57 -0.08378  2.25255e-03
 58  0.05704  5.46281e-03 | 59  0.10065  4.35444e-03 | 60  0.00110  1.77859e-03
 61  0.10500  1.57863e-03 | 62 -0.08247  3.98166e-04 | 63 -0.05377  2.82717e-04
 64 -0.12441  4.81583e-04 | 65 -0.10044  1.12485e-03 | 66  0.09964  2.53339e-03
 67 -0.16630 -3.17823e-05 | 68 -0.02761  9.62090e-04 | 69 -0.89110  9.80358e-04
 70  0.00565  2.47103e-02 | 71  0.09019 -1.55028e-04 | 72  0.09812 -6.08619e-02
 73 -0.00761 -4.96129e-05 | 74 -0.08729  3.46201e-02 | 75 -0.13910  1.45855e-03
 76  0.02040 -4.22671e-02 | 77 -0.02082  5.80805e-04 | 78  0.04561  3.94350e-03
 79 -0.20380 -1.49568e-01 | 80 -0.03372 -2.13958e-04 | 81 -0.45422  2.00562e-03
 82 -0.28381 -2.89065e-05 | 83  0.07674  4.90749e-04 | 84 -0.62465 -6.67246e-01
 85  0.00088 -2.99961e-04 | 86 -0.09804 -2.36806e-04 | 87 -0.00022  1.43513e-03
 88  0.01707  4.18824e-03 | 89  0.00552  2.31296e-03 | 90  0.00265  2.48466e-03
 91  0.00185  8.56214e-03 | 92  0.00959  2.41373e-03 | 93  0.00920  1.75577e-03
 94  0.00457  1.40979e-03 | 95  0.01311  9.10722e-03 | 96 -0.01370  2.36700e-03
 97  0.01516  1.48988e-03 | 98  0.00971  6.62137e-03 | 99  0.02609  5.54646e-03
100  0.00059  9.13243e-04 |101  0.02219  2.85469e-03 |102 -0.02176  1.11873e-03
103 -0.02694  9.45592e-04 |104 -0.02252  2.31221e-03 |105 -0.03463  6.85144e-03
106 -0.03854  2.48413e-03 |107  0.01196  1.02487e-02 |108 -0.03877  7.45561e-04
109 -0.01127  4.28939e-03 |110  0.00507  5.87994e-03 |111 -0.02699  2.04553e-03
112  0.04538  7.79417e-03 |113  0.03371  3.33439e-04 |114  0.04885  1.21744e-03
115  0.05361  2.32755e-05 |116  0.03887  3.52295e-05 |117  0.05158  1.66914e-03
118  0.02302 -5.05257e-05 |119  0.09851  4.10601e-04 |120  0.00791  1.11912e-02
121 -0.00714  1.50261e-02 |122 -0.01307  1.42794e-02 |123  0.02797  1.89122e-02
124  0.01086  2.79022e-02 |125  0.00516  2.19282e-02 |126  0.00505  1.99840e-02
127  0.00314  1.72517e-02 |128 -0.00614  2.56371e-02 |129 -0.00097  2.22301e-02
130 -0.00751  1.92924e-02 |131  0.01089  2.80418e-02 |132 -0.00950  2.66648e-02
133  0.01220  2.34456e-02 |134 -0.00176  2.23484e-02 |135 -0.01623  1.75528e-02
136  0.01859  1.82649e-02 |137 -0.01368  1.55794e-02 |138  0.01174  2.78037e-02
139  0.02163  2.45720e-02 |140 -0.00526  3.17925e-02 |141 -0.00069  2.29546e-02
142  0.01784  2.72029e-02 |143 -0.01485  2.36628e-02 |144  0.02550  2.14465e-02
145  0.00041  2.45862e-02 |146  0.00926  1.66022e-02 |147 -0.01830  1.12492e-02
148  0.01234  7.91834e-03 |149  0.00677  3.47650e-03 |150 -0.02834  3.46874e-03
151  0.03000  2.73415e-03 |152 -0.00566  5.38559e-04 |

Initial statistics: 153 variables; iteration 0; function evaluation 0; phase 8
Function value 1.8040718e+04; maximum gradient component mag -3.7713e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.18710 -1.48961e-01 |  2 -0.07152  1.69525e-02 |  3  0.07957  9.43850e-02
  4 -0.47869  3.08325e-01 |  5 -0.58365  2.51170e-01 |  6 -0.23334  2.26600e-03
  7 -0.15192  5.59734e-03 |  8  0.02618 -3.53653e-02 |  9  0.07726 -5.05017e-03
 10  0.02667  1.46809e-01 | 11 -0.08954 -7.25556e-05 | 12 -0.23165  1.12027e-04
 13 -0.23679 -8.38889e-05 | 14 -0.24304 -6.94614e-05 | 15 -0.25002  3.22219e-05
 16 -0.25759  1.70837e-04 | 17 -0.26496  2.57300e-04 | 18 -0.27048  1.73446e-05
 19 -0.26595  4.91387e-05 | 20 -0.24029  1.54496e-04 | 21 -0.16046  3.00495e-04
 22 -0.13485  4.38037e-04 | 23 -0.17257  1.22336e-04 | 24 -0.02128  1.82724e-03
 25  0.08312  4.33818e-03 | 26  0.05177  2.94851e-03 | 27  0.04404  3.76373e-03
 28 -0.06826  1.34041e-03 | 29 -0.11897  1.97447e-03 | 30  0.08707  1.07462e-02
 31 -0.08743  3.15243e-03 | 32  0.07885  1.11269e-02 | 33 -0.02948  4.90590e-03
 34 -0.09485  2.64860e-03 | 35 -0.17628  2.29602e-03 | 36 -0.08567  5.06056e-03
 37  0.02092  1.15031e-02 | 38 -0.00493  8.21863e-03 | 39 -0.00762  8.44381e-03
 40  0.08505  1.74123e-02 | 41 -0.02934  5.08571e-03 | 42 -0.05882  4.67222e-03
 43 -0.06710  5.37392e-03 | 44  0.05884  1.42586e-02 | 45 -0.03884  5.62276e-03
 46 -0.07673  4.57578e-03 | 47  0.03448  1.19338e-02 | 48  0.02301  8.96108e-03
 49 -0.10160  3.86160e-03 | 50 -0.02925  6.82206e-03 | 51 -0.07454  4.77392e-03
 52 -0.10377  3.63073e-03 | 53 -0.04301  6.89281e-03 | 54  0.05531  1.18424e-02
 55 -0.02287  5.83945e-03 | 56  0.09820  1.24090e-02 | 57 -0.08378  2.25256e-03
 58  0.05704  5.46281e-03 | 59  0.10065  4.35445e-03 | 60  0.00110  1.77858e-03
 61  0.10500  1.57862e-03 | 62 -0.08247  3.98174e-04 | 63 -0.05377  2.82711e-04
 64 -0.12441  4.81587e-04 | 65 -0.10044  1.12485e-03 | 66  0.09964  2.53339e-03
 67 -0.16630 -3.17835e-05 | 68 -0.02761  9.62089e-04 | 69 -0.89110  9.80359e-04
 70  0.00000 -3.77130e+02 | 71  0.00565  2.47103e-02 | 72  0.09019 -1.55028e-04
 73  0.09812 -6.08620e-02 | 74 -0.00761 -4.96129e-05 | 75 -0.08729  3.46201e-02
 76 -0.13910  1.45855e-03 | 77  0.02040 -4.22670e-02 | 78 -0.02082  5.80805e-04
 79  0.04561  3.94350e-03 | 80 -0.20380 -1.49568e-01 | 81 -0.03372 -2.13958e-04
 82 -0.45422  2.00562e-03 | 83 -0.28381 -2.89065e-05 | 84  0.07674  4.90750e-04
 85 -0.62465 -6.67247e-01 | 86  0.00088 -2.99961e-04 | 87 -0.09804 -2.36806e-04
 88 -0.00022  1.43517e-03 | 89  0.01707  4.18827e-03 | 90  0.00552  2.31297e-03
 91  0.00265  2.48464e-03 | 92  0.00185  8.56214e-03 | 93  0.00959  2.41370e-03
 94  0.00920  1.75585e-03 | 95  0.00457  1.40980e-03 | 96  0.01311  9.10719e-03
 97 -0.01370  2.36703e-03 | 98  0.01516  1.48984e-03 | 99  0.00971  6.62143e-03
100  0.02609  5.54645e-03 |101  0.00059  9.13232e-04 |102  0.02219  2.85469e-03
103 -0.02176  1.11875e-03 |104 -0.02694  9.45593e-04 |105 -0.02252  2.31219e-03
106 -0.03463  6.85140e-03 |107 -0.03854  2.48413e-03 |108  0.01196  1.02487e-02
109 -0.03877  7.45559e-04 |110 -0.01127  4.28941e-03 |111  0.00507  5.87996e-03
112 -0.02699  2.04553e-03 |113  0.04538  7.79410e-03 |114  0.03371  3.33435e-04
115  0.04885  1.21744e-03 |116  0.05361  2.32468e-05 |117  0.03887  3.52280e-05
118  0.05158  1.66914e-03 |119  0.02302 -5.05512e-05 |120  0.09851  4.10583e-04
121  0.00791  1.11912e-02 |122 -0.00714  1.50261e-02 |123 -0.01307  1.42794e-02
124  0.02797  1.89122e-02 |125  0.01086  2.79022e-02 |126  0.00516  2.19282e-02
127  0.00505  1.99841e-02 |128  0.00314  1.72518e-02 |129 -0.00614  2.56371e-02
130 -0.00097  2.22302e-02 |131 -0.00751  1.92924e-02 |132  0.01089  2.80419e-02
133 -0.00950  2.66648e-02 |134  0.01220  2.34456e-02 |135 -0.00176  2.23484e-02
136 -0.01623  1.75528e-02 |137  0.01859  1.82650e-02 |138 -0.01368  1.55794e-02
139  0.01174  2.78037e-02 |140  0.02163  2.45720e-02 |141 -0.00526  3.17924e-02
142 -0.00069  2.29546e-02 |143  0.01784  2.72029e-02 |144 -0.01485  2.36628e-02
145  0.02550  2.14465e-02 |146  0.00041  2.45862e-02 |147  0.00926  1.66022e-02
148 -0.01830  1.12492e-02 |149  0.01234  7.91832e-03 |150  0.00677  3.47649e-03
151 -0.02834  3.46874e-03 |152  0.03000  2.73414e-03 |153 -0.00566  5.38539e-04

Intermediate statistics: 153 variables; iteration 20; function evaluation 23; phase 8
Function value 1.8036400e+04; maximum gradient component mag -4.7828e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.21531  2.91024e+03 |  2 -0.07091 -2.17841e+02 |  3  0.07861 -1.51834e+03
  4 -0.48049 -4.78277e+03 |  5 -0.58367 -3.64980e+03 |  6 -0.23373 -3.02700e+01
  7 -0.15031 -5.12175e+01 |  8  0.02623  2.91633e+02 |  9  0.07767 -4.86184e+00
 10 -0.00767 -2.60001e+03 | 11 -0.08969  1.64421e+00 | 12 -0.23181  5.12943e-01
 13 -0.23698  5.76741e-01 | 14 -0.24326  6.36300e-01 | 15 -0.25028  6.92484e-01
 16 -0.25789  7.48346e-01 | 17 -0.26530  7.85506e-01 | 18 -0.27087  7.63368e-01
 19 -0.26640  4.96845e-01 | 20 -0.24086 -3.12199e-01 | 21 -0.16157 -2.22389e+00
 22 -0.13639 -3.69398e+00 | 23 -0.17372 -5.59951e+00 | 24 -0.02492 -3.00621e+01
 25  0.07496 -8.46138e+01 | 26  0.04541 -8.07673e+01 | 27  0.03784 -9.12805e+01
 28 -0.07253 -3.94790e+01 | 29 -0.12061 -2.99518e+01 | 30  0.08539 -1.59965e+02
 31 -0.08884 -4.07852e+01 | 32  0.07690 -2.09470e+02 | 33 -0.03226 -9.80524e+01
 34 -0.09719 -6.86385e+01 | 35 -0.17744 -3.78703e+01 | 36 -0.08605 -8.48295e+01
 37  0.02137 -1.85349e+02 | 38 -0.00449 -1.43460e+02 | 39 -0.00755 -1.51738e+02
 40  0.08439 -2.72184e+02 | 41 -0.02959 -1.04832e+02 | 42 -0.05967 -9.64257e+01
 43 -0.06798 -8.89664e+01 | 44  0.05850 -2.51711e+02 | 45 -0.03776 -1.21336e+02
 46 -0.07543 -8.88443e+01 | 47  0.03477 -2.23876e+02 | 48  0.02396 -2.00838e+02
 49 -0.09887 -5.71510e+01 | 50 -0.02831 -1.33995e+02 | 51 -0.07269 -8.56684e+01
 52 -0.10306 -8.02148e+01 | 53 -0.04257 -1.08662e+02 | 54  0.05612 -2.34402e+02
 55 -0.02173 -1.01483e+02 | 56  0.09857 -2.36886e+02 | 57 -0.08251 -2.98739e+01
 58  0.05639 -8.42464e+01 | 59  0.09955 -8.52103e+01 | 60  0.00001 -1.92872e+01
 61  0.10280 -3.78264e+01 | 62 -0.08374 -1.26112e+00 | 63 -0.05525 -1.03767e+01
 64 -0.12576 -6.22488e+00 | 65 -0.10146 -6.22393e-01 | 66  0.09735 -6.24901e+00
 67 -0.16718 -2.39173e+00 | 68 -0.02875 -1.33830e+01 | 69 -0.89260 -1.26671e+01
 70  0.02136 -3.20502e+02 | 71  0.00936 -3.27184e+02 | 72  0.09019 -2.74667e-04
 73  0.09963  7.64371e+02 | 74 -0.00761 -5.04420e-05 | 75 -0.08743 -6.16567e+02
 76 -0.13886 -2.36725e+01 | 77  0.02122  7.95838e+02 | 78 -0.02051 -1.40355e+01
 79  0.04930 -8.45338e+01 | 80 -0.20384 -8.66278e+02 | 81 -0.03367 -1.25431e+00
 82 -0.45423  8.97345e-01 | 83 -0.28381 -3.60940e-03 | 84  0.07856 -3.54102e+01
 85 -0.62486 -1.45427e+03 | 86  0.00088 -1.41896e-03 | 87 -0.09804 -3.15251e-04
 88 -0.00069 -2.77732e+01 | 89  0.01704 -6.69694e+01 | 90  0.00538 -5.98070e+01
 91  0.00241 -4.74755e+01 | 92  0.00184 -1.36196e+02 | 93  0.00957 -2.89585e+01
 94  0.00911 -2.31198e+01 | 95  0.00421 -4.21050e+01 | 96  0.01307 -2.79853e+01
 97 -0.01385 -3.67681e+01 | 98  0.01490 -6.03406e+01 | 99  0.00980 -9.24282e+01
100  0.02608 -6.73443e+01 |101  0.00022 -5.16256e+01 |102  0.02226 -6.44426e+00
103 -0.02204 -4.52482e+01 |104 -0.02702 -1.91929e+01 |105 -0.02245 -3.13309e+01
106 -0.03464 -5.23155e+01 |107 -0.03807 -3.01763e+01 |108  0.01205 -9.98627e+01
109 -0.03890 -2.83919e+01 |110 -0.01099 -3.12679e+01 |111  0.00487 -7.75428e+01
112 -0.02735 -2.38834e+01 |113  0.04546 -4.14725e+01 |114  0.03351 -2.01900e+01
115  0.04900  6.97512e+00 |116  0.05337 -2.14193e+01 |117  0.03835 -5.73831e+00
118  0.05178  2.31787e+01 |119  0.02298  4.46661e+00 |120  0.09876  9.23864e+00
121  0.00959 -2.12997e+02 |122 -0.00613 -2.70912e+02 |123 -0.01209 -2.83228e+02
124  0.02917 -3.69823e+02 |125  0.01154 -5.29558e+02 |126  0.00609 -4.20276e+02
127  0.00630 -3.62008e+02 |128  0.00444 -3.35311e+02 |129 -0.00472 -2.97489e+02
130  0.00074 -3.37541e+02 |131 -0.00649 -3.50345e+02 |132  0.01176 -4.80635e+02
133 -0.00823 -4.61465e+02 |134  0.01281 -4.75719e+02 |135 -0.00058 -3.56488e+02
136 -0.01506 -3.15060e+02 |137  0.01964 -2.97813e+02 |138 -0.01268 -2.52883e+02
139  0.01313 -3.46089e+02 |140  0.02270 -3.65838e+02 |141 -0.00426 -4.49542e+02
142  0.00023 -4.06716e+02 |143  0.01906 -4.14329e+02 |144 -0.01368 -3.71897e+02
145  0.02668 -3.59632e+02 |146  0.00137 -2.91549e+02 |147  0.01000 -2.37361e+02
148 -0.01743 -1.35642e+02 |149  0.01343 -1.01165e+02 |150  0.00756 -6.45723e+01
151 -0.02757 -1.91432e+01 |152  0.03119 -1.05545e+01 |153 -0.00501  3.46744e+00
153 variables; iteration 40; function evaluation 44; phase 8
Function value 1.8036250e+04; maximum gradient component mag -5.1761e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.21639  3.20436e+03 |  2 -0.07019 -2.27730e+02 |  3  0.07681 -1.65558e+03
  4 -0.47878 -5.17613e+03 |  5 -0.58461 -3.96290e+03 |  6 -0.23378 -3.51041e+01
  7 -0.15069 -5.88790e+01 |  8  0.02621  2.84567e+02 |  9  0.07780 -4.35685e+00
 10 -0.01195 -2.86702e+03 | 11 -0.09141  6.16867e-01 | 12 -0.23393  3.99794e-01
 13 -0.23941  3.51219e-01 | 14 -0.24602  2.81967e-01 | 15 -0.25336  2.02119e-01
 16 -0.26132  1.06299e-01 | 17 -0.26906 -2.74325e-02 | 18 -0.27492 -2.52893e-01
 19 -0.27055 -7.98565e-01 | 20 -0.24472 -2.20742e+00 | 21 -0.16654 -6.80401e+00
 22 -0.14290 -9.72452e+00 | 23 -0.17631 -8.26418e+00 | 24 -0.02445 -3.31606e+01
 25  0.07805 -8.63910e+01 | 26  0.04590 -8.49237e+01 | 27  0.04020 -9.36875e+01
 28 -0.07116 -4.39111e+01 | 29 -0.11872 -3.08897e+01 | 30  0.08680 -1.82928e+02
 31 -0.08754 -4.82434e+01 | 32  0.07862 -2.29839e+02 | 33 -0.03040 -1.08411e+02
 34 -0.09509 -7.27395e+01 | 35 -0.17495 -3.88545e+01 | 36 -0.08380 -8.59854e+01
 37  0.02287 -2.10091e+02 | 38 -0.00272 -1.61782e+02 | 39 -0.00616 -1.79148e+02
 40  0.08613 -3.09275e+02 | 41 -0.02813 -1.21549e+02 | 42 -0.05775 -1.02249e+02
 43 -0.06580 -9.24755e+01 | 44  0.06028 -2.78623e+02 | 45 -0.03628 -1.37640e+02
 46 -0.07381 -9.97526e+01 | 47  0.03673 -2.44338e+02 | 48  0.02580 -2.26574e+02
 49 -0.09748 -6.99996e+01 | 50 -0.02640 -1.49264e+02 | 51 -0.07085 -9.73976e+01
 52 -0.10141 -8.81635e+01 | 53 -0.04076 -1.17309e+02 | 54  0.05800 -2.45917e+02
 55 -0.01988 -1.03162e+02 | 56  0.10060 -2.40906e+02 | 57 -0.08051 -3.34162e+01
 58  0.05798 -9.71668e+01 | 59  0.10142 -8.46855e+01 | 60  0.00156 -1.94329e+01
 61  0.10465 -3.38356e+01 | 62 -0.08212 -2.88555e+00 | 63 -0.05332 -8.65785e+00
 64 -0.12386 -5.01195e+00 | 65 -0.09924  1.92759e+00 | 66  0.09902 -8.31562e+00
 67 -0.16753 -4.87341e+00 | 68 -0.02623 -7.18386e+00 | 69 -0.89201 -1.32499e+01
 70  0.02219 -3.33726e+02 | 71  0.00937 -3.60103e+02 | 72  0.09019 -2.86272e-04
 73  0.09963  8.46050e+02 | 74 -0.00761 -5.06419e-05 | 75 -0.08749 -6.52235e+02
 76 -0.14145 -2.50665e+01 | 77  0.02117  8.34796e+02 | 78 -0.02190 -1.46058e+01
 79  0.05132 -8.69767e+01 | 80 -0.20385 -9.21493e+02 | 81 -0.03353 -1.15670e+00
 82 -0.45426  9.57014e-01 | 83 -0.28381 -3.70289e-03 | 84  0.08178 -3.31294e+01
 85 -0.62487 -1.74403e+03 | 86  0.00087 -1.43789e-03 | 87 -0.09804 -3.19450e-04
 88 -0.00075 -3.25216e+01 | 89  0.01695 -7.19670e+01 | 90  0.00531 -6.11416e+01
 91  0.00242 -4.32049e+01 | 92  0.00180 -1.63861e+02 | 93  0.00968 -2.73973e+01
 94  0.00904 -3.06396e+01 | 95  0.00410 -4.19042e+01 | 96  0.01292 -3.87942e+01
 97 -0.01377 -3.37502e+01 | 98  0.01488 -5.70816e+01 | 99  0.00981 -9.26648e+01
100  0.02592 -7.93030e+01 |101  0.00001 -5.81137e+01 |102  0.02205 -9.75094e+00
103 -0.02214 -5.01061e+01 |104 -0.02724 -3.43196e+01 |105 -0.02252 -3.55266e+01
106 -0.03476 -7.00513e+01 |107 -0.03817 -3.90700e+01 |108  0.01207 -7.37621e+01
109 -0.03893 -2.60785e+01 |110 -0.01109 -4.33055e+01 |111  0.00495 -8.24255e+01
112 -0.02725 -2.73181e+01 |113  0.04548 -2.91767e+01 |114  0.03360 -1.30118e+01
115  0.04873 -3.36044e+00 |116  0.05332 -9.72540e+00 |117  0.03775 -7.96498e+00
118  0.05161  2.55092e+01 |119  0.02293  6.10241e+00 |120  0.09916  5.36800e+00
121  0.00923 -2.33033e+02 |122 -0.00642 -2.92420e+02 |123 -0.01233 -3.01846e+02
124  0.02913 -3.83178e+02 |125  0.01129 -5.92587e+02 |126  0.00585 -4.61853e+02
127  0.00612 -4.10508e+02 |128  0.00443 -3.65684e+02 |129 -0.00484 -3.34126e+02
130  0.00041 -3.71082e+02 |131 -0.00663 -3.77696e+02 |132  0.01164 -5.08006e+02
133 -0.00843 -4.98284e+02 |134  0.01257 -5.14337e+02 |135 -0.00058 -3.88788e+02
136 -0.01534 -3.52227e+02 |137  0.01947 -3.43302e+02 |138 -0.01298 -2.89851e+02
139  0.01295 -4.06333e+02 |140  0.02251 -4.16591e+02 |141 -0.00435 -4.50093e+02
142  0.00007 -4.15107e+02 |143  0.01892 -4.41524e+02 |144 -0.01401 -4.10575e+02
145  0.02642 -4.05612e+02 |146  0.00116 -3.06301e+02 |147  0.00982 -2.42341e+02
148 -0.01755 -1.44854e+02 |149  0.01313 -1.04524e+02 |150  0.00750 -6.74637e+01
151 -0.02755 -1.43558e+01 |152  0.03084 -1.39056e+01 |153 -0.00595 -2.09566e+00
153 variables; iteration 60; function evaluation 64; phase 8
Function value 1.8036187e+04; maximum gradient component mag -5.2030e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.21682  3.22832e+03 |  2 -0.07000 -2.29928e+02 |  3  0.07692 -1.66432e+03
  4 -0.47868 -5.20303e+03 |  5 -0.58472 -3.98549e+03 |  6 -0.23385 -3.71908e+01
  7 -0.15057 -5.81052e+01 |  8  0.02621  2.79315e+02 |  9  0.07781 -3.97458e+00
 10 -0.01368 -2.88781e+03 | 11 -0.09298  4.46311e-01 | 12 -0.23996 -1.32225e-01
 13 -0.24576 -2.70298e-01 | 14 -0.25266 -4.37845e-01 | 15 -0.26028 -6.24487e-01
 16 -0.26845 -8.36496e-01 | 17 -0.27629 -1.08794e+00 | 18 -0.28194 -1.41369e+00
 19 -0.27652 -1.91016e+00 | 20 -0.24779 -2.63101e+00 | 21 -0.16289 -5.28254e+00
 22 -0.13921 -7.38419e+00 | 23 -0.17636 -6.50087e+00 | 24 -0.01952 -3.06341e+01
 25  0.07642 -8.73441e+01 | 26  0.04805 -8.30575e+01 | 27  0.04057 -9.32521e+01
 28 -0.07044 -4.58200e+01 | 29 -0.11859 -3.41032e+01 | 30  0.08758 -1.82675e+02
 31 -0.08696 -4.88108e+01 | 32  0.07939 -2.30722e+02 | 33 -0.02975 -1.10103e+02
 34 -0.09432 -7.32798e+01 | 35 -0.17426 -3.95808e+01 | 36 -0.08305 -8.65177e+01
 37  0.02363 -2.10077e+02 | 38 -0.00198 -1.61551e+02 | 39 -0.00540 -1.78607e+02
 40  0.08692 -3.10660e+02 | 41 -0.02732 -1.20046e+02 | 42 -0.05698 -1.00341e+02
 43 -0.06511 -9.36907e+01 | 44  0.06094 -2.84119e+02 | 45 -0.03533 -1.36753e+02
 46 -0.07323 -1.01347e+02 | 47  0.03739 -2.48113e+02 | 48  0.02669 -2.24955e+02
 49 -0.09673 -7.08275e+01 | 50 -0.02563 -1.51494e+02 | 51 -0.07002 -9.75398e+01
 52 -0.10077 -8.85606e+01 | 53 -0.03989 -1.15306e+02 | 54  0.05870 -2.50595e+02
 55 -0.01914 -1.04320e+02 | 56  0.10134 -2.44259e+02 | 57 -0.07986 -3.45833e+01
 58  0.05882 -9.49599e+01 | 59  0.10217 -8.52311e+01 | 60  0.00235 -1.86661e+01
 61  0.10536 -3.48668e+01 | 62 -0.08173 -5.08347e+00 | 63 -0.05262 -9.30325e+00
 64 -0.12315 -5.22526e+00 | 65 -0.09854  1.61311e+00 | 66  0.09967 -7.95589e+00
 67 -0.16478 -1.80574e+00 | 68 -0.02565 -8.17260e+00 | 69 -0.89165 -1.10515e+01
 70  0.02246 -3.31393e+02 | 71  0.00929 -3.63508e+02 | 72  0.09019 -2.87431e-04
 73  0.09962  8.53879e+02 | 74 -0.00760 -5.06919e-05 | 75 -0.08685 -6.51758e+02
 76 -0.14800 -2.58178e+01 | 77  0.02150  8.37339e+02 | 78 -0.02633 -1.50177e+01
 79  0.05261 -8.79935e+01 | 80 -0.20383 -9.21992e+02 | 81 -0.03348 -1.26881e+00
 82 -0.45436  9.37652e-01 | 83 -0.28381 -4.19115e-03 | 84  0.07977 -3.65615e+01
 85 -0.62487 -1.91916e+03 | 86  0.00087 -1.39434e-03 | 87 -0.09804 -3.12425e-04
 88 -0.00072 -3.18348e+01 | 89  0.01693 -7.31394e+01 | 90  0.00527 -6.34921e+01
 91  0.00249 -4.21648e+01 | 92  0.00154 -1.65885e+02 | 93  0.00963 -3.35090e+01
 94  0.00905 -2.69333e+01 | 95  0.00420 -3.86473e+01 | 96  0.01292 -4.00084e+01
 97 -0.01377 -3.24733e+01 | 98  0.01485 -5.84633e+01 | 99  0.00978 -9.45161e+01
100  0.02585 -8.28381e+01 |101  0.00001 -5.64089e+01 |102  0.02197 -9.09738e+00
103 -0.02225 -5.76955e+01 |104 -0.02723 -3.05352e+01 |105 -0.02262 -3.85763e+01
106 -0.03477 -6.62933e+01 |107 -0.03801 -4.07386e+01 |108  0.01197 -7.83330e+01
109 -0.03894 -2.60194e+01 |110 -0.01108 -4.37413e+01 |111  0.00487 -8.25593e+01
112 -0.02729 -2.99316e+01 |113  0.04548 -2.77069e+01 |114  0.03354 -1.61018e+01
115  0.04876  2.85392e+00 |116  0.05328 -1.24770e+01 |117  0.03779 -6.93311e+00
118  0.05150  1.31930e+01 |119  0.02285  3.50064e+00 |120  0.09893  1.01164e+01
121  0.00916 -2.36045e+02 |122 -0.00644 -2.96652e+02 |123 -0.01239 -3.07376e+02
124  0.02901 -3.85951e+02 |125  0.01147 -5.92730e+02 |126  0.00575 -4.70809e+02
127  0.00612 -4.13990e+02 |128  0.00437 -3.67349e+02 |129 -0.00486 -3.38782e+02
130  0.00044 -3.74261e+02 |131 -0.00673 -3.81495e+02 |132  0.01163 -5.13081e+02
133 -0.00841 -5.02361e+02 |134  0.01256 -5.13709e+02 |135 -0.00052 -3.87425e+02
136 -0.01540 -3.58194e+02 |137  0.01939 -3.49684e+02 |138 -0.01295 -2.95459e+02
139  0.01302 -4.05819e+02 |140  0.02235 -4.25179e+02 |141 -0.00430 -4.51995e+02
142  0.00006 -4.15706e+02 |143  0.01889 -4.43481e+02 |144 -0.01394 -4.08453e+02
145  0.02638 -4.11309e+02 |146  0.00112 -3.09762e+02 |147  0.00972 -2.47013e+02
148 -0.01748 -1.39769e+02 |149  0.01312 -1.02425e+02 |150  0.00752 -6.52304e+01
151 -0.02773 -2.42035e+01 |152  0.03097 -1.82738e+01 |153 -0.00562  1.34221e+00
153 variables; iteration 80; function evaluation 84; phase 8
Function value 1.8036035e+04; maximum gradient component mag -5.0039e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.21724  3.10825e+03 |  2 -0.07056 -2.22154e+02 |  3  0.07780 -1.59926e+03
  4 -0.47883 -5.00391e+03 |  5 -0.58468 -3.83128e+03 |  6 -0.23401 -3.96692e+01
  7 -0.15021 -5.77661e+01 |  8  0.02619  2.66309e+02 |  9  0.07803  5.45360e-01
 10 -0.00931 -2.77918e+03 | 11 -0.09743  1.34143e-01 | 12 -0.25589 -1.17371e+00
 13 -0.26103 -1.26588e+00 | 14 -0.26698 -1.35248e+00 | 15 -0.27342 -1.42036e+00
 16 -0.28008 -1.45904e+00 | 17 -0.28596 -1.45593e+00 | 18 -0.28892 -1.39664e+00
 19 -0.28025 -1.41546e+00 | 20 -0.25134 -2.14062e+00 | 21 -0.16622 -5.32696e+00
 22 -0.14381 -9.18127e+00 | 23 -0.19298 -8.67406e+00 | 24 -0.02298 -3.17229e+01
 25  0.07500 -8.46481e+01 | 26  0.04305 -8.45364e+01 | 27  0.03856 -8.94734e+01
 28 -0.07474 -4.84290e+01 | 29 -0.12061 -2.88199e+01 | 30  0.08461 -1.71958e+02
 31 -0.09011 -4.82065e+01 | 32  0.07636 -2.21886e+02 | 33 -0.03265 -1.06008e+02
